정류소노드 아이디,정류소명,경도,위도,지자체코드,지자체명
157000102,달서중고등학교앞,128.4221369,35.884427,157,달성군
157000103,달서중고등학교건너,128.422062,35.884284,157,달성군
157000104,하산리,128.3999231,35.878962,157,달성군
157000105,하산리,128.4011888,35.878684,157,달성군
157000107,동곡초등학교앞,128.4179591,35.877585,157,달성군
157000108,동곡초등학교건너,128.4173752,35.877666,157,달성군
157000109,문양리입구2,128.424375,35.867188,157,달성군
157000110,문양리입구1,128.424258,35.86699,157,달성군
157000111,하빈농협동곡지점1,128.421374,35.877132,157,달성군
157000112,하빈농협동곡지점2,128.4208369,35.877183,157,달성군
157000113,동곡리,128.423592,35.879349,157,달성군
157000114,문양3리(장귀미),128.4236849,35.879368,157,달성군
157000119,기곡종점,128.4396502,35.931844,157,달성군
157000120,기곡(종점),128.4397312,35.931124,157,달성군
157000121,문양리2,128.4354349,35.857553,157,달성군
157000122,문양기지창앞,128.435926,35.85901,157,달성군
157000123,문양기지창건너,128.4360491,35.858919,157,달성군
157000124,부곡리,128.44103,35.851998,157,달성군
157000125,부곡리건너,128.4408911,35.851819,157,달성군
157000126,연화리2,128.45066,35.854761,157,달성군
157000127,연화리,128.4498922,35.854008,157,달성군
157000128,문양역앞,128.4376612,35.864119,157,달성군
157000129,문양역건너,128.437807,35.86401,157,달성군
157000130,다사읍행정복지센터건너,128.4554491,35.86125,157,달성군
157000131,강창하이츠,128.460515,35.862025,157,달성군
157000132,매곡사거리1,128.4598069,35.862586,157,달성군
157000133,매곡사거리2,128.45831,35.862343,157,달성군
157000134,다사고등학교앞,128.4621469,35.861031,157,달성군
157000135,다사고등학교건너,128.462108,35.860559,157,달성군
157000136,대실역(1번출구),128.4647069,35.858403,157,달성군
157000137,대실역(2번출구),128.4645841,35.857925,157,달성군
157000138,문양리1,128.4351311,35.857452,157,달성군
157000139,강창교2(다사방향),128.468714,35.855263,157,달성군
